Date,Open,High,Low,Close,Adj Close,Volume
9/20/2021,15259.5,15262.75977,15019.49023,15132.05957,15132.05957,96690100
9/21/2021,15265.03027,15394.33008,15205.7002,15348.53027,15348.53027,61546200
9/22/2021,15463.24023,15508.41992,15378.92969,15506.74023,15506.74023,54135200
9/23/2021,15630.00977,15695.65039,15593.71973,15643.96973,15643.96973,54651300
9/24/2021,15562.13965,15573.45996,15497.16992,15531.75,15531.75,49967000
9/27/2021,15699.00977,15704.04981,15552.08984,15573.87988,15573.87988,59034800
9/28/2021,15542.03027,15542.41016,15232.96973,15248.55957,15248.55957,75174800
9/29/2021,15357,15422.75,15301.34961,15365.26953,15365.26953,56303700
9/30/2021,15434.33008,15448.51953,15246,15260.69043,15260.69043,74664500
10/1/2021,15041.59961,15262.75,14983.79981,15156.44043,15156.44043,66029600
10/4/2021,15061.86035,15175.25,15016.92969,15036.54981,15036.54981,52650700
10/5/2021,15055.40039,15202.2002,15011.44043,15194.49023,15194.49023,60532800
10/6/2021,15040.09961,15049.49023,14818.70996,14973.33008,14973.33008,96189400
10/7/2021,15162.75,15253.29004,15116.46973,15250.86035,15250.86035,76332700
10/8/2021,15242.75977,15267.91992,15184.75977,15206.12988,15206.12988,59531300
10/11/2021,15115.45996,15202.74023,15094.44043,15199.13965,15199.13965,75309100
10/12/2021,15025.34961,15174.29004,15012.07031,15146.87012,15146.87012,60955500
10/13/2021,15130.79981,15302.42969,15109.61035,15249.37988,15249.37988,69662700
10/14/2021,15350.71973,15464.37988,15303.38965,15462.71973,15462.71973,60002700
10/15/2021,15481.21973,15598.58008,15465.92969,15587.36035,15587.36035,73666300
10/18/2021,15518.58984,15542.16992,15416.01953,15474.46973,15474.46973,49463100
10/19/2021,15510.99023,15527.96973,15457.42969,15515.83008,15515.83008,49579400
10/20/2021,15473.55957,15567.07031,15465.03027,15522.91992,15522.91992,54739200
10/21/2021,15408.79981,15532.94043,15406.58984,15472.55957,15472.55957,54649400
10/22/2021,15507.99023,15614.75977,15492.29004,15542.98047,15542.98047,49948500
10/25/2021,15580.58008,15618.87988,15531.9502,15599.23047,15599.23047,51296300
10/26/2021,15652.91016,15781,15650.34961,15757.05957,15757.05957,56055900
10/27/2021,15725.40039,15744.79004,15671.58984,15705.80957,15705.80957,73429300
10/28/2021,15681.51953,15706.38965,15629.33008,15696.33008,15696.33008,78877800
10/29/2021,15579.90039,15689.66016,15495.50977,15688.76953,15688.76953,80569400
11/1/2021,15764.54981,15849.40039,15760.34961,15806.29004,15806.29004,49160900
11/2/2021,15825.26953,15960.20996,15824.11035,15954.4502,15954.4502,60596100
11/3/2021,15957.15039,15972.70996,15922.09961,15959.98047,15959.98047,74344600
11/4/2021,16035.90039,16064.79004,15997.62988,16029.65039,16029.65039,76262400
11/5/2021,16011.57031,16084.90039,16008.40039,16054.36035,16054.36035,75298200
11/8/2021,16040.84961,16068.73047,16016.2002,16046.51953,16046.51953,48903600
11/9/2021,16026.74023,16104.12988,16022.63965,16040.46973,16040.46973,61428000
11/10/2021,16053,16076.55957,15985.90039,16067.83008,16067.83008,62124400
11/11/2021,16067.33984,16114.54981,16032.5,16083.11035,16083.11035,56626200
11/12/2021,16100.08008,16122.75977,16065.05957,16094.07031,16094.07031,60302900
11/15/2021,16109.41016,16149.87012,16072.29004,16148.63965,16148.63965,53296600
11/16/2021,16174.30957,16266.25977,16157.58008,16247.86035,16247.86035,56783300
11/17/2021,16248.32031,16283.51953,16240.50977,16251.12988,16251.12988,54131500
11/18/2021,16262.29004,16290.19043,16193.33984,16221.73047,16221.73047,57887500
11/19/2021,16269.21973,16282.87012,16092.62988,16159.96973,16159.96973,105496400
11/22/2021,16188.54004,16202.76953,16090.54004,16115.69043,16115.69043,65473700
11/23/2021,15987.2002,16054.37988,15866.00977,15937,15937,91000000
11/24/2021,15942.28027,15974.29981,15740.59961,15878.38965,15878.38965,87886600
11/25/2021,15928.37988,15962.54004,15865.41016,15917.98047,15917.98047,57275800
11/26/2021,15383.90039,15540.29004,15244.45996,15257.04004,15257.04004,133308100
11/29/2021,15418.28027,15441.91016,15237.87012,15280.86035,15280.86035,95660000
11/30/2021,15117.62988,15280.04004,15015.41992,15100.12988,15100.12988,152644300
12/1/2021,15233.37012,15509.45996,15187.08984,15472.66992,15472.66992,86134400
12/2/2021,15300.73047,15373.51953,15172.90039,15263.11035,15263.11035,93605500
12/3/2021,15422.90039,15422.90039,15101.70996,15169.98047,15169.98047,80653400
12/6/2021,15323.2002,15415.45996,15150.54004,15380.79004,15380.79004,74842900
12/7/2021,15546.7002,15827.94043,15544.79004,15813.94043,15813.94043,86195400
12/8/2021,15781.04981,15834.04004,15683.66992,15687.08984,15687.08984,72088200
12/9/2021,15705.92969,15721.48047,15613.40039,15639.25977,15639.25977,60664300
12/10/2021,15572.69043,15689.5,15550.4502,15623.30957,15623.30957,58755300
12/13/2021,15653.57031,15794.30957,15591.62012,15621.71973,15621.71973,56995000
12/14/2021,15680.34961,15697.98047,15448.4502,15453.55957,15453.55957,62436700
12/15/2021,15503.63965,15531.04004,15451.74023,15476.34961,15476.34961,54560500
12/16/2021,15708.94043,15780.92969,15621.57031,15636.40039,15636.40039,87304300
12/17/2021,15599.75,15609.50977,15419.54981,15531.69043,15531.69043,140842600
12/20/2021,15152.55957,15296.08008,15060.09961,15239.66992,15239.66992,69118800
12/21/2021,15379.08008,15452.41992,15305.61035,15447.44043,15447.44043,53329700
12/22/2021,15474.83984,15593.46973,15425.16016,15593.46973,15593.46973,42996600
12/23/2021,15660.78027,15768.4502,15622.59961,15756.30957,15756.30957,43253900
12/27/2021,15705.53027,15854.62012,15697.44043,15835.25,15835.25,28899600
12/28/2021,15839.19043,15974.79004,15832.95996,15963.7002,15963.7002,34021000
12/29/2021,15952.46973,15955.03027,15803.58984,15852.25,15852.25,34973900
12/30/2021,15837.55957,15890.74023,15834.57031,15884.86035,15884.86035,32456600
1/3/2022,15947.44043,16069.37988,15943.16016,16020.73047,16020.73047,56865800
1/4/2022,16069.79981,16202.58008,16036.51953,16152.61035,16152.61035,75187400
1/5/2022,16177.44043,16285.34961,16161.71973,16271.75,16271.75,68244500
1/6/2022,16076.16016,16156.55957,15988.62988,16052.03027,16052.03027,75756700
1/7/2022,15999.01953,16044.28027,15862.70996,15947.74023,15947.74023,74469300
1/10/2022,16006.44043,16015.33984,15724.23047,15768.26953,15768.26953,82834300
1/11/2022,15918.82031,15979.99023,15880.38965,15941.80957,15941.80957,74622100
1/12/2022,16054.92969,16061.5,15955.54004,16010.32031,16010.32031,69357000
1/13/2022,15959.83008,16090.29004,15941.78027,16031.58984,16031.58984,72976100
1/14/2022,15929.37012,15970.7002,15833.73047,15883.24023,15883.24023,80457700
1/17/2022,15948.90039,15962.7002,15894.76953,15933.71973,15933.71973,46576400
1/18/2022,15839.15039,15843.58008,15669.34961,15772.55957,15772.55957,70557600
1/19/2022,15639.4502,15898.04981,15629.86035,15809.71973,15809.71973,74923900
1/20/2022,15837.24023,15912.33008,15737.33008,15912.33008,15912.33008,62979800
1/21/2022,15694.82031,15728.29004,15456.87012,15603.87988,15603.87988,105899500
1/24/2022,15499.61035,15587.38965,14952.66992,15011.12988,15011.12988,115815500
1/25/2022,15139.07031,15205.75,14979.11035,15123.87012,15123.87012,86066500
1/26/2022,15273.05957,15524.95996,15272.87012,15459.38965,15459.38965,82970700
1/27/2022,15229.98047,15582.4502,15197.53027,15524.26953,15524.26953,105993600
1/28/2022,15411.86035,15416.58984,15122.65039,15318.9502,15318.9502,91381200
1/31/2022,15506.79004,15566.37988,15338.19043,15471.2002,15471.2002,88305600
2/1/2022,15620.55957,15687.95996,15537.04981,15619.38965,15619.38965,74929400
2/2/2022,15689.16016,15736.51953,15604.99023,15613.76953,15613.76953,66319500
2/3/2022,15565.94043,15602.5,15367.16016,15368.46973,15368.46973,104951100
2/4/2022,15410.73047,15423.94043,15060.48047,15099.55957,15099.55957,93799100
2/7/2022,15220.08008,15256.08008,15076.88965,15206.63965,15206.63965,71120600
2/8/2022,15221.7002,15338,15158.79981,15242.37988,15242.37988,80957900
2/9/2022,15356.9502,15513.94043,15351.48047,15482.00977,15482.00977,85342900
2/10/2022,15597.05957,15614.46973,15413.37012,15490.44043,15490.44043,94694700
2/11/2022,15353.86035,15511.33984,15308.69043,15425.12012,15425.12012,100055100
2/14/2022,15065.73047,15150.54004,14844.09961,15113.96973,15113.96973,119705200
2/15/2022,15077.32031,15418.41016,15068.33008,15412.70996,15412.70996,83214500
2/16/2022,15431.26953,15542.83984,15374,15396.07031,15396.07031,31633100
2/17/2022,15404.13965,15440.08008,15206.40039,15267.62988,15267.62988,78678300
2/18/2022,15278.66016,15317.38965,14989.04981,15042.50977,15042.50977,87529800
2/21/2022,15186.62988,15192.46973,14617.66016,14731.12012,14731.12012,78145800
2/22/2022,14365.05957,14782.16016,14357.86035,14693,14693,115316300
2/23/2022,14754.21973,14901.08984,14586.34961,14631.36035,14631.36035,89094500
2/24/2022,13989.41016,14221.70996,13807.28027,14052.09961,14052.09961,219860100
2/25/2022,14230.08984,14567.62012,14027.92969,14567.23047,14567.23047,160377100
2/28/2022,14263.73047,14510.76953,14106.88965,14461.01953,14461.01953,160848700
3/1/2022,14404.21973,14448.61035,13904.84961,13904.84961,13904.84961,145245900
3/2/2022,13836.92969,14114.79004,13707.86035,14000.11035,14000.11035,158825300
3/3/2022,13990.25,14057.15039,13669.09961,13698.40039,13698.40039,118913500
3/4/2022,13485.98047,13562.59961,13094.54004,13094.54004,13094.54004,178566000
3/7/2022,12614.08008,13150.34961,12438.84961,12834.65039,12834.65039,192412700
3/8/2022,12673.88965,13106.78027,12672,12831.50977,12831.50977,172923800
3/9/2022,13215.05957,13847.92969,13199.67969,13847.92969,13847.92969,177828900
3/10/2022,13819.44043,13829.96973,13341.79004,13442.09961,13442.09961,148856700
